date,bases,open_access_bases,bytes,open_access_bytes
"09/20/2010",50588010190766,39694179583896,121264345701653,109727555688112
"09/21/2010",50774241424236,39873078034966,121457285683320,109913011349853
"09/22/2010",51036482938862,40119056934392,122281879657385,110720982036765
"09/23/2010",51255758329218,40289670043347,122519336557423,110908698935658
"09/24/2010",51519312561762,40515799020491,122792918579488,111144059671893
"09/25/2010",51551698109186,40548184567915,123365408019018,111716549111423
"09/26/2010",51551718586171,40548205044900,123365451382305,111716592474710
"09/27/2010",51578474713434,40574961172163,123394271090942,111745412183347
"09/28/2010",51585753901134,40582240359863,123401744484475,111752885576880
"09/29/2010",51600007683589,40596494142318,123418318804129,111769459896534
"09/30/2010",51636216880895,40632703339624,123886018876537,112237159968942
"10/01/2010",51740504715332,40736991174061,124904062487228,113255203579633
"10/02/2010",51749034476812,40745520935541,124923871799105,113275012891510
"10/04/2010",51784631418803,40781117877532,125022983856037,113374124948442
"10/05/2010",52181844664016,41178331122745,125994150727384,114345291819789
"10/06/2010",53441983577733,42438470036462,127998146617449,116349287709854
"10/07/2010",54500651197648,43497137656377,129275381604839,117626522697244
"10/08/2010",55089520686922,44086007145651,131244828052962,119595969145367
"10/09/2010",55984629177808,44981115636537,132199723549521,120550864641926
"10/10/2010",56452361489643,45448847948372,132680197342563,121031338434968
"10/11/2010",56458950404613,45455436863342,132696384370899,121047525463304
"10/12/2010",56519211549038,45515698007767,132771524928090,121122666020495
"10/13/2010",56578136165010,45574622623739,132933471970133,121284613062538
"10/14/2010",56856005865145,45852492323874,133269409575921,121620550668326
"10/15/2010",56870690683490,45867177142219,133303387971033,121654529063438
"10/16/2010",56873536094544,45870022553273,133308228723085,121659369815490
"10/18/2010",56961112581989,45957599040718,133444515227784,121795656320189
"10/19/2010",56996493241210,45992979699939,133527090732018,121878231824423
"10/20/2010",57053561922107,46050048380836,133602472170795,121953613263200
"10/21/2010",57186794809818,46183281268547,133748550406980,122099691499385
"10/22/2010",57563537587295,46560024046024,134143608332401,122494749424806
"10/25/2010",57572463559823,46568950018552,134183222924758,122534364017163
"10/26/2010",57646637942145,46643124400874,134268457703243,122619598795648
"10/27/2010",57664717912368,46661204371097,134295818255765,122646959348170
"10/28/2010",57768938798397,46765425257126,134689665257661,123040806350066
"10/29/2010",57815668092969,46812154551698,134959815355632,123310956448037
"10/30/2010",57869460550326,46865947009055,135021424374436,123372565466841
"10/31/2010",57880969824768,46877456283497,135046050031498,123397191123903
"11/01/2010",58465912811487,47462399270216,135654487676130,124005628768535
"11/02/2010",59221221855857,48217708314586,136429377716409,124780518808814
"11/03/2010",59618729545235,48615216003964,136926702589334,125277843681739
"11/04/2010",59734326596035,48730813054764,137415909201347,125767050293752
"11/05/2010",60048984655477,49045471114206,139591187174961,127942328267366
"11/08/2010",61234809846492,50231296305221,141188452607522,129539593699927
"11/09/2010",61501886385797,50498372844526,142339359414891,130690500507296
"11/10/2010",62061711394318,51058197853047,144453640376927,132804781469332
"11/11/2010",62409250501635,51405736960364,146727029458604,135078170551009
"11/12/2010",62695189910180,51691676368909,147991724820603,136342865913008
"11/13/2010",62796691918196,51793178376925,148304587995321,136655729087726
"11/15/2010",62946049052923,51942535511652,149819065159136,138170206251541
"11/16/2010",63050468611524,52024006016773,150835213878006,139162914030767
"11/17/2010",63082316419108,52055853824357,150870793612769,139198493765530
"11/18/2010",63142798225798,52116335631047,151140274536927,139467974689688
"11/19/2010",63156943418302,52130480823551,151173590603713,139501290756474
"11/20/2010",63159757523085,52133294928334,151180253027374,139507953180135
"11/22/2010",63215377991448,52188915396697,151244906271174,139572606423935
"11/23/2010",63235632505121,52209169910370,151269490263071,139597190415832
"11/24/2010",63250296462923,52223833868172,151325725133278,139653425286039
"11/25/2010",63254365773736,52227903178985,151336022601807,139663722754568
"11/26/2010",63284314039364,52257851444613,151371271712770,139698971865531
"11/27/2010",63304064615152,52277602020401,151393780168587,139721480321348
"11/28/2010",63330379219734,52303916624983,151428754644685,139756454797446
"11/29/2010",63608188057815,52581725463064,151841595027243,140169295180004
"11/30/2010",63663286442229,52636823847478,151913431125010,140241131277771
"12/01/2010",64241124634218,53214662039467,152515439768643,140843139921404
"12/02/2010",64268770789201,53242308194450,152544719699076,140872419851837
"12/03/2010",64399797797211,53372516272520,152686183196155,141010492185095
"12/04/2010",64520676762414,53493395237723,153159893889756,141484202878696
"12/06/2010",65125238978303,54097957453612,153800063674885,142124372663825
"12/07/2010",65326828091889,54299546567198,154011139547753,142335448536693
"12/08/2010",65592599024401,54565317499710,154287771319795,142612080308735
"12/09/2010",66171394527210,55144113002519,154920214497025,143244523485965
"12/10/2010",66502031646721,55474750122030,155336725996660,143661034985600
"12/11/2010",66577862865983,55550581341292,155424051518167,143748360507107
"12/13/2010",66763232648958,55735951124267,155613671701068,143937980690008
"12/14/2010",67733168871961,56705887347270,156704747077839,145029056066779
"12/15/2010",68446616874956,57419335350265,157739499784553,146063808773493
"12/16/2010",71193855143291,60123550672636,160648791191641,148929104752503
"12/17/2010",71363233638932,60292929168277,160841486543734,149121800104596
"12/18/2010",71363582605568,60292929168277,160842911996973,149121800104596
"12/19/2010",71364538197560,60293884760269,160843923235189,149122811342812
"12/20/2010",71570816689413,60500163252122,161071054505486,149349942613109
"12/21/2010",71583137028725,60512483591434,161184629695508,149463517803131
"12/22/2010",71799779335032,60729125897741,161429543953636,149708432061259
"12/23/2010",71811180679470,60740527242179,161443500389098,149722388496721
"12/24/2010",71811811219938,60741157782647,161444201864829,149723089972452
"12/26/2010",71814641805759,60743988368468,161448195100997,149727083208620
"12/27/2010",71832838135302,60762184698011,161467000763125,149745888870748
